service_date,station_name,gated_entries
2018-01-07,Airport,3623.0
2018-01-07,Alewife,2321.0
2018-01-07,Andrew,1771.0
2018-01-07,Aquarium,1460.0
2018-01-07,Arlington,1970.0
2018-01-07,Ashmont,2200.0
2018-01-07,Assembly,1079.0
2018-01-07,Back Bay,4211.0
2018-01-07,Beachmont,975.0
2018-01-07,Bowdoin,386.0
2018-01-07,Boylston,2458.0
2018-01-07,Braintree,690.0
2018-01-07,Broadway,1523.0
2018-01-07,Central,4719.0
2018-01-07,Charles/MGH,2096.0
2018-01-07,Chinatown,2530.0
2018-01-07,Community College,600.0
2018-01-07,Copley,5256.0
2018-01-07,Courthouse,411.0
2018-01-07,Davis,3133.0
2018-01-07,Downtown Crossing,6650.0
2018-01-07,Fields Corner,1179.0
2018-01-07,Forest Hills,3227.0
2018-01-07,Government Center,1488.0
2018-01-07,Green Street,629.0
2018-01-07,Harvard,5805.0
2018-01-07,Haymarket,3885.0
2018-01-07,Hynes Convention Center,3347.0
2018-01-07,JFK/UMass,1362.0
2018-01-07,Jackson Square,1568.0
2018-01-07,Kendall/MIT,2430.0
2018-01-07,Kenmore,2438.0
2018-01-07,Lechmere,1888.0
2018-01-07,Malden Center,3006.0
2018-01-07,Massachusetts Avenue,1851.0
2018-01-07,Maverick,3646.0
2018-01-07,North Quincy,1420.0
2018-01-07,North Station,4956.0
2018-01-07,Oak Grove,1303.0
2018-01-07,Orient Heights,1054.0
2018-01-07,Park Street,4375.0
2018-01-07,Porter,2625.0
2018-01-07,Prudential,2220.0
2018-01-07,Quincy Adams,600.0
2018-01-07,Quincy Center,1715.0
2018-01-07,Revere Beach,947.0
2018-01-07,Riverside,320.0
2018-01-07,Roxbury Crossing,868.0
2018-01-07,Ruggles,2256.0
2018-01-07,Savin Hill,594.0
2018-01-07,Science Park,60.0
2018-01-07,Shawmut,593.0
2018-01-07,South Station,4904.0
2018-01-07,State Street,2568.0
2018-01-07,Stony Brook,905.0
2018-01-07,Suffolk Downs,119.0
2018-01-07,Sullivan Square,2380.0
2018-01-07,Symphony,921.0
2018-01-07,Tufts Medical Center,1474.0
2018-01-07,Wellington,1475.0
2018-01-07,Wollaston,885.0
2018-01-07,Wonderland,1718.0
2018-01-07,Wood Island,453.0
2018-01-07,World Trade Center,162.0
2018-01-08,Airport,6020.0
2018-01-08,Alewife,11108.0
2018-01-08,Andrew,5785.0
2018-01-08,Aquarium,3763.0
2018-01-08,Arlington,6584.0
2018-01-08,Ashmont,8234.0
2018-01-08,Assembly,2809.0
2018-01-08,Back Bay,15286.0
2018-01-08,Beachmont,2799.0
2018-01-08,Bowdoin,1942.0
2018-01-08,Boylston,4381.0
2018-01-08,Braintree,4059.0
2018-01-08,Broadway,6069.0
2018-01-08,Central,13919.0
2018-01-08,Charles/MGH,9986.0
2018-01-08,Chinatown,5722.0
2018-01-08,Community College,2998.0
2018-01-08,Copley,11717.0
2018-01-08,Courthouse,2031.0
2018-01-08,Davis,11004.0
2018-01-08,Downtown Crossing,19394.0
2018-01-08,Fields Corner,3915.0
2018-01-08,Forest Hills,12391.0
2018-01-08,Government Center,6197.0
2018-01-08,Green Street,2910.0
2018-01-08,Harvard,17081.0
2018-01-08,Haymarket,9254.0
2018-01-08,Hynes Convention Center,5744.0
2018-01-08,JFK/UMass,5656.0
2018-01-08,Jackson Square,5247.0
2018-01-08,Kendall/MIT,16445.0
2018-01-08,Kenmore,5990.0
2018-01-08,Lechmere,5292.0
2018-01-08,Malden Center,10459.0
2018-01-08,Massachusetts Avenue,5384.0
2018-01-08,Maverick,9690.0
2018-01-08,North Quincy,8347.0
2018-01-08,North Station,14608.0
2018-01-08,Oak Grove,6173.0
2018-01-08,Orient Heights,2756.0
2018-01-08,Park Street,14699.0
2018-01-08,Porter,7929.0
2018-01-08,Prudential,3057.0
2018-01-08,Quincy Adams,4259.0
2018-01-08,Quincy Center,7444.0
2018-01-08,Revere Beach,2627.0
2018-01-08,Riverside,1261.0
2018-01-08,Roxbury Crossing,4353.0
2018-01-08,Ruggles,10009.0
2018-01-08,Savin Hill,2142.0
2018-01-08,Science Park,531.0
2018-01-08,Shawmut,2055.0
2018-01-08,South Station,24728.0
2018-01-08,State Street,13732.0
2018-01-08,Stony Brook,3152.0
2018-01-08,Suffolk Downs,376.0
2018-01-08,Sullivan Square,8154.0
2018-01-08,Symphony,1437.0
2018-01-08,Tufts Medical Center,6163.0
2018-01-08,Wellington,6547.0
2018-01-08,Wonderland,6037.0
2018-01-08,Wood Island,1762.0
2018-01-08,World Trade Center,902.0
2018-01-09,Airport,6145.0
2018-01-09,Alewife,11454.0
2018-01-09,Andrew,5973.0
2018-01-09,Aquarium,3688.0
2018-01-09,Arlington,6947.0
2018-01-09,Ashmont,8879.0
2018-01-09,Assembly,2986.0
2018-01-09,Back Bay,15777.0
2018-01-09,Beachmont,2924.0
2018-01-09,Bowdoin,2150.0
2018-01-09,Boylston,4755.0
2018-01-09,Braintree,4058.0
2018-01-09,Broadway,6437.0
2018-01-09,Central,13859.0
2018-01-09,Charles/MGH,10274.0
2018-01-09,Chinatown,5601.0
2018-01-09,Community College,3156.0
2018-01-09,Copley,12359.0
2018-01-09,Courthouse,1975.0
2018-01-09,Davis,11589.0
2018-01-09,Downtown Crossing,24141.0
2018-01-09,Fields Corner,4076.0
2018-01-09,Forest Hills,12951.0
2018-01-09,Government Center,6720.0
2018-01-09,Green Street,2545.0
2018-01-09,Harvard,17225.0
2018-01-09,Haymarket,9630.0
2018-01-09,Hynes Convention Center,6205.0
2018-01-09,JFK/UMass,5887.0
2018-01-09,Jackson Square,5539.0
2018-01-09,Kendall/MIT,17246.0
2018-01-09,Kenmore,6297.0
2018-01-09,Lechmere,5092.0
2018-01-09,Malden Center,11166.0
2018-01-09,Massachusetts Avenue,5817.0
2018-01-09,Maverick,10448.0
2018-01-09,North Quincy,8849.0
2018-01-09,North Station,14670.0
2018-01-09,Oak Grove,6385.0
2018-01-09,Orient Heights,3970.0
2018-01-09,Park Street,15543.0
2018-01-09,Porter,8060.0
2018-01-09,Prudential,3136.0
2018-01-09,Quincy Adams,4351.0
2018-01-09,Quincy Center,8014.0
2018-01-09,Revere Beach,2781.0
2018-01-09,Riverside,1356.0
2018-01-09,Roxbury Crossing,4680.0
2018-01-09,Ruggles,10206.0
2018-01-09,Savin Hill,2165.0
2018-01-09,Science Park,675.0
2018-01-09,Shawmut,2189.0
2018-01-09,South Station,24898.0
2018-01-09,State Street,12989.0
2018-01-09,Stony Brook,3403.0
2018-01-09,Suffolk Downs,375.0
2018-01-09,Sullivan Square,8256.0
2018-01-09,Symphony,1566.0
2018-01-09,Tufts Medical Center,6459.0
2018-01-09,Wellington,6958.0
2018-01-09,Wonderland,6563.0
2018-01-09,Wood Island,2052.0
2018-01-09,World Trade Center,906.0
2018-01-10,Airport,6093.0
2018-01-10,Alewife,11270.0
2018-01-10,Andrew,5959.0
2018-01-10,Aquarium,3809.0
2018-01-10,Arlington,6925.0
2018-01-10,Ashmont,7951.0
2018-01-10,Assembly,2936.0
2018-01-10,Back Bay,15805.0
2018-01-10,Beachmont,2972.0
2018-01-10,Bowdoin,2099.0
2018-01-10,Boylston,4619.0
2018-01-10,Braintree,4256.0
2018-01-10,Broadway,6423.0
2018-01-10,Central,14139.0
2018-01-10,Charles/MGH,10434.0
2018-01-10,Chinatown,5487.0
2018-01-10,Community College,3250.0
2018-01-10,Copley,11760.0
2018-01-10,Courthouse,2017.0
2018-01-10,Davis,11425.0
2018-01-10,Downtown Crossing,24275.0
2018-01-10,Fields Corner,4233.0
2018-01-10,Forest Hills,13002.0
2018-01-10,Government Center,6618.0
2018-01-10,Green Street,2806.0
2018-01-10,Harvard,17218.0
2018-01-10,Haymarket,9478.0
2018-01-10,Hynes Convention Center,6061.0
2018-01-10,JFK/UMass,5866.0
2018-01-10,Jackson Square,5324.0
2018-01-10,Kendall/MIT,16689.0
2018-01-10,Kenmore,4826.0
2018-01-10,Lechmere,5620.0
2018-01-10,Malden Center,11103.0
2018-01-10,Massachusetts Avenue,5514.0
2018-01-10,Maverick,10412.0
2018-01-10,North Quincy,8585.0
2018-01-10,North Station,14419.0
2018-01-10,Oak Grove,6466.0
2018-01-10,Orient Heights,3976.0
2018-01-10,Park Street,15483.0
2018-01-10,Porter,8003.0
2018-01-10,Prudential,3020.0
2018-01-10,Quincy Adams,4266.0
2018-01-10,Quincy Center,7957.0
2018-01-10,Revere Beach,2861.0
2018-01-10,Riverside,1335.0
2018-01-10,Roxbury Crossing,4566.0
2018-01-10,Ruggles,10342.0
2018-01-10,Savin Hill,2175.0
2018-01-10,Science Park,641.0
2018-01-10,Shawmut,2211.0
2018-01-10,South Station,24935.0
2018-01-10,State Street,14073.0
2018-01-10,Stony Brook,3388.0
2018-01-10,Suffolk Downs,422.0
2018-01-10,Sullivan Square,8426.0
2018-01-10,Symphony,1580.0
2018-01-10,Tufts Medical Center,6423.0
2018-01-10,Wellington,6909.0
2018-01-10,Wonderland,6639.0
2018-01-10,Wood Island,2069.0
